name,version,directory,repository,summary,from package.json,from license,from readme
@babel/code-frame,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/code-frame,(none),MIT,MIT,,
@babel/code-frame,7.0.0,/home/casey/homepage/node_modules/@babel/code-frame,(none),MIT,MIT,MIT,
@babel/core,7.2.2,/home/casey/homepage/node_modules/@babel/core,(none),MIT,MIT,MIT,
@babel/generator,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/generator,(none),MIT,MIT,,
@babel/generator,7.2.2,/home/casey/homepage/node_modules/@babel/generator,(none),MIT,MIT,MIT,
@babel/helper-annotate-as-pure,7.0.0,/home/casey/homepage/node_modules/@babel/helper-annotate-as-pure,(none),MIT,MIT,MIT,
@babel/helper-builder-binary-assignment-operator-visitor,7.1.0,/home/casey/homepage/node_modules/@babel/helper-builder-binary-assignment-operator-visitor,(none),MIT,MIT,MIT,
@babel/helper-builder-react-jsx,7.0.0,/home/casey/homepage/node_modules/@babel/helper-builder-react-jsx,(none),MIT,MIT,MIT,
@babel/helper-call-delegate,7.1.0,/home/casey/homepage/node_modules/@babel/helper-call-delegate,(none),MIT,MIT,MIT,
@babel/helper-create-class-features-plugin,7.2.3,/home/casey/homepage/node_modules/@babel/helper-create-class-features-plugin,(none),MIT,MIT,MIT,
@babel/helper-define-map,7.1.0,/home/casey/homepage/node_modules/@babel/helper-define-map,(none),MIT,MIT,MIT,
@babel/helper-explode-assignable-expression,7.1.0,/home/casey/homepage/node_modules/@babel/helper-explode-assignable-expression,(none),MIT,MIT,MIT,
@babel/helper-function-name,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/helper-function-name,(none),MIT,MIT,,
@babel/helper-function-name,7.1.0,/home/casey/homepage/node_modules/@babel/helper-function-name,(none),MIT,MIT,MIT,
@babel/helper-get-function-arity,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/helper-get-function-arity,(none),MIT,MIT,,
@babel/helper-get-function-arity,7.0.0,/home/casey/homepage/node_modules/@babel/helper-get-function-arity,(none),MIT,MIT,MIT,
@babel/helper-hoist-variables,7.0.0,/home/casey/homepage/node_modules/@babel/helper-hoist-variables,(none),MIT,MIT,MIT,
@babel/helper-member-expression-to-functions,7.0.0,/home/casey/homepage/node_modules/@babel/helper-member-expression-to-functions,(none),MIT,MIT,MIT,
@babel/helper-module-imports,7.0.0,/home/casey/homepage/node_modules/@babel/helper-module-imports,(none),MIT,MIT,MIT,
@babel/helper-module-transforms,7.2.2,/home/casey/homepage/node_modules/@babel/helper-module-transforms,(none),MIT,MIT,MIT,
@babel/helper-optimise-call-expression,7.0.0,/home/casey/homepage/node_modules/@babel/helper-optimise-call-expression,(none),MIT,MIT,MIT,
@babel/helper-plugin-utils,7.0.0,/home/casey/homepage/node_modules/@babel/helper-plugin-utils,(none),MIT,MIT,MIT,
@babel/helper-regex,7.0.0,/home/casey/homepage/node_modules/@babel/helper-regex,(none),MIT,MIT,MIT,
@babel/helper-remap-async-to-generator,7.1.0,/home/casey/homepage/node_modules/@babel/helper-remap-async-to-generator,(none),MIT,MIT,MIT,
@babel/helper-replace-supers,7.2.3,/home/casey/homepage/node_modules/@babel/helper-replace-supers,(none),MIT,MIT,MIT,
@babel/helper-simple-access,7.1.0,/home/casey/homepage/node_modules/@babel/helper-simple-access,(none),MIT,MIT,MIT,
@babel/helper-split-export-declaration,7.0.0-beta.44,/home/casey/homepage/node_modules/babel-eslint/node_modules/@babel/helper-split-export-declaration,(none),MIT,MIT,,
@babel/helper-split-export-declaration,7.0.0,/home/casey/homepage/node_modules/@babel/helper-split-export-declaration,(none),MIT,MIT,MIT,
